,cluster
0,4
1,2
2,0
3,0
4,2
5,2
6,2
7,7
8,2
9,4
10,0
11,2
12,1
13,2
14,0
15,1
16,2
17,4
18,0
19,5
20,8
21,1
22,4
23,4
24,2
25,1
26,4
27,1
28,0
29,2
30,1
31,7
32,0
33,1
34,2
35,1
36,0
37,0
38,5
39,1
40,0
41,1
42,1
43,7
44,2
45,2
46,1
47,0
48,0
49,2
50,0
51,2
52,7
53,4
54,3
55,2
56,1
57,0
58,1
59,1
60,1
61,8
62,1
63,4
64,7
65,2
66,1
67,8
68,1
69,1
70,2
71,0
72,1
73,0
74,0
75,1
76,2
77,0
78,4
79,1
80,1
81,2
82,1
83,2
84,1
85,1
86,5
87,1
88,7
89,2
90,2
91,0
92,4
93,1
94,0
95,1
96,1
97,1
98,1
99,0
100,0
101,1
102,2
103,4
104,4
105,1
106,1
107,1
108,1
109,4
110,7
111,1
112,1
113,2
114,4
115,0
116,0
117,3
118,2
119,2
120,2
121,0
122,2
123,5
124,5
125,2
126,1
127,0
128,0
129,1
130,4
131,0
132,2
133,2
134,1
135,1
136,2
137,4
138,0
139,0
140,3
141,7
142,0
143,4
144,6
145,1
146,1
147,1
148,3
149,5
150,4
151,0
152,1
153,8
154,2
155,6
156,0
157,2
158,2
159,1
160,2
161,0
162,4
163,0
164,1
165,0
166,0
167,2
168,0
169,1
170,0
171,4
172,0
173,1
174,0
175,0
176,1
177,2
178,7
179,2
180,7
181,2
182,2
183,6
184,2
185,0
186,1
187,2
188,3
189,0
190,1
191,4
192,1
193,2
194,2
195,1
196,0
197,4
198,1
199,2
200,1
201,1
202,1
203,7
204,1
205,0
206,1
207,1
208,1
209,0
210,0
211,2
212,6
213,1
214,0
215,2
216,2
217,2
218,2
219,0
220,0
221,2
222,4
223,5
224,2
225,1
226,0
227,1
228,0
229,1
230,0
231,1
232,8
233,7
234,1
235,1
236,1
237,1
238,0
239,1
240,1
241,2
242,8
243,1
244,2
245,2
246,2
247,6
248,2
249,0
250,0
251,1
252,2
253,3
254,6
255,2
256,0
257,5
258,2
259,1
260,7
261,1
262,1
263,1
264,2
265,4
266,0
267,2
268,0
269,1
270,2
271,1
272,0
273,2
274,4
275,1
276,0
277,4
278,1
279,1
280,1
281,0
282,1
283,2
284,2
285,1
286,0
287,0
288,0
289,2
290,0
291,2
292,5
293,1
294,2
295,1
296,0
297,2
298,4
299,1
300,1
301,4
302,2
303,0
304,2
305,3
306,1
307,2
308,0
309,7
310,6
311,1
312,2
313,1
314,0
315,1
316,2
317,1
318,0
319,7
320,7
321,2
322,1
323,2
324,5
325,1
326,1
327,1
328,1
329,1
330,3
331,2
332,2
333,1
334,0
335,0
336,1
337,2
338,1
339,2
340,2
341,1
342,0
343,2
344,6
345,2
346,0
347,2
348,7
349,2
350,2
351,1
352,2
353,8
354,4
355,1
356,2
357,0
358,2
359,0
360,2
361,0
362,2
363,2
364,2
365,5
366,2
367,1
368,1
369,1
370,3
371,0
372,3
373,5
374,1
375,1
376,2
377,7
378,2
379,1
380,6
381,2
382,2
383,1
384,4
385,0
386,2
387,4
388,0
389,2
390,2
391,1
392,2
393,2
394,1
395,5
396,2
397,5
398,1
399,2
400,0
401,0
402,6
403,2
404,0
405,2
406,0
407,5
408,2
409,3
410,0
411,6
412,4
413,0
414,1
415,0
416,0
417,1
418,1
419,0
420,0
421,0
422,2
423,4
424,0
425,0
426,1
427,5
428,2
429,1
430,8
431,0
432,2
433,1
434,0
435,1
436,2
437,2
438,0
439,1
440,2
441,2
442,1
443,4
444,4
445,1
446,7
447,0
448,2
449,8
450,1
451,1
452,1
453,2
454,5
455,1
456,0
457,2
458,0
459,1
460,1
461,8
462,0
463,7
464,2
465,1
466,1
467,7
468,0
469,5
470,4
471,7
472,1
473,5
474,2
475,2
476,0
477,7
478,7
479,1
480,2
481,2
482,2
483,1
484,0
485,2
486,2
487,8
488,1
489,1
490,0
491,3
492,2
493,2
494,2
495,8
496,6
497,1
498,1
499,0
500,1
501,5
502,1
503,1
504,0
505,0
506,1
507,0
508,1
509,4
510,1
511,5
512,0
513,0
514,2
515,1
516,1
517,1
518,1
519,7
520,4
521,0
522,0
523,2
524,2
525,0
526,1
527,1
528,1
529,1
530,0
531,1
532,6
533,1
534,1
535,2
536,0
537,1
538,6
539,2
540,4
541,1
542,1
543,2
544,2
545,1
546,8
547,2
548,7
549,0
550,2
551,0
552,2
553,0
554,7
555,1
556,2
557,2
558,1
559,2
560,6
561,1
562,1
563,0
564,4
565,1
566,1
567,4
568,4
569,1
570,2
571,2
572,2
573,2
574,2
575,8
576,0
577,7
578,5
579,1
580,1
581,0
582,4
583,4
584,3
585,1
586,2
587,2
588,2
589,5
590,4
591,6
592,2
593,4
594,2
595,2
596,8
597,4
598,0
599,0
600,2
601,2
602,8
603,2
604,2
605,1
606,2
607,2
608,0
609,2
610,2
611,0
612,0
613,1
614,0
615,1
616,2
617,1
618,4
619,2
620,0
621,2
622,0
623,2
624,1
625,2
626,8
627,1
628,0
629,2
630,2
631,7
632,1
633,8
634,1
635,1
636,1
637,1
638,5
639,0
640,2
641,6
642,1
643,1
644,7
645,2
646,0
647,1
648,2
649,1
650,0
651,2
652,4
653,2
654,4
655,0
656,4
657,6
658,1
659,7
660,4
661,0
662,1
663,2
664,0
665,0
666,0
667,5
668,0
669,2
670,4
671,1
672,0
673,1
674,1
675,8
676,1
677,1
678,7
679,4
680,1
681,2
682,2
683,1
684,1
685,1
686,2
687,1
688,2
689,2
690,3
691,2
692,2
693,0
694,4
695,2
696,1
